id,line_item_quantity,unit_price,pack_price,line_item_value,line_item_insurance,sub_classification,dosage,weight
646,50,0.06,13.93,696.5,1.11,Pediatric,10mg/ml,Weight Captured Separately
660,16800,0.34,10.19,171192.0,335.54,Adult,600mg,1224
719,25000,0.03,0.39,9750.0,19.11,ACT,50+153mg,1708
772,9,1.68,50.4,453.6,0.89,Adult,600/200/300mg,Weight Captured Separately
835,80,0.76,22.88,1830.4,3.59,Adult,300mg,Weight Captured Separately
836,120,0.76,22.88,2745.6,5.38,Adult,300mg,Weight Captured Separately
837,600,0.01,1.43,858.0,1.68,Pediatric,1mg/ml,Weight Captured Separately
838,7,0.22,13.05,91.35,0.18,Pediatric,100mg,Weight Captured Separately
2947,400,0.02,1.5,600.0,0.96,Adult,15mg,83
839,40,0.11,34.39,1375.6,2.7,Pediatric,80/20mg/ml,Weight Captured Separately
914,140,0.2,19.51,2731.4,5.35,Malaria,600mg/2ml,5209
960,5964,0.14,8.61,51350.04,100.65,Adult,150/300mg,3509
961,21000,0.04,2.4,50400.0,98.78,Adult,150mg,See ASN-3562 (ID#:960)
962,10560,0.12,6.9,72864.0,142.81,Adult,150/200/30mg,924
979,2352,0.14,8.61,20250.72,39.69,Adult,150/300mg,211
985,524,0.14,41.1,21536.4,42.21,Pediatric,80/20mg/ml,644
986,2094,0.17,10.28,21526.32,42.19,Pediatric,100/25mg,237
1037,200,0.79,23.67,4734.0,9.28,Adult,400mg,11
1046,80,0.16,9.5,760.0,1.49,Pediatric,50mg,43
1047,32,0.06,12.59,402.88,0.79,Pediatric,2g,See ASN-3675 (ID#:1046)
1048,46,0.17,10.28,472.88,0.93,Pediatric,100/25mg,10
1063,3025,0.52,15.71,47522.75,93.14,Adult,600mg,Weight Captured Separately
1065,3500,0.47,14.24,49840.0,97.69,Adult,600mg,Weight Captured Separately
1066,1008,0.01,3.56,3588.48,7.03,Pediatric,10mg/ml,Weight Captured Separately
1067,960,0.01,1.2,1152.0,2.26,Pediatric,1mg/ml,Weight Captured Separately
1068,1800,0.02,5.84,10512.0,20.6,Pediatric,10mg/ml,Weight Captured Separately
1070,1200,0.05,2.82,3384.0,6.63,Adult,30mg,Weight Captured Separately
1077,346,0.02,5.65,1954.9,3.83,Pediatric,10mg/ml,Weight Captured Separately
1078,5300,0.1,3.14,16642.0,32.62,Pediatric,50mg,Weight Captured Separately
1079,342,0.02,5.65,1932.3,3.79,Pediatric,10mg/ml,Weight Captured Separately
1080,2700,0.07,3.95,10665.0,20.9,Adult,15mg,Weight Captured Separately
1084,3735,0.3,35.98,134385.3,263.4,Adult,200/50mg,Weight Captured Separately
1085,6000,0.22,13.44,80640.0,158.05,Adult,300mg,Weight Captured Separately
1086,11672,0.05,3.0,35016.0,68.63,Adult,30mg,Weight Captured Separately
1109,10240,0.34,41.1,420864.0,824.89,Adult,200/50mg,2523
1110,400,0.11,38.36,15344.0,30.07,Adult,100mg,175
1111,30,0.12,36.0,1080.0,2.12,Pediatric,80/20mg/ml,Weight Captured Separately
1114,80,1.17,35.2,2816.0,5.52,Adult,300/200mg,Weight Captured Separately
1115,1000,0.33,19.77,19770.0,38.75,Adult,300mg,Weight Captured Separately
1156,55356,0.23,6.98,386384.88,757.31,Adult,600mg,4482
1179,8,0.23,76.72,613.76,1.2,Adult,100mg,48
1183,3500,0.19,11.15,39025.0,76.49,Adult,150/300/200mg,1804
1213,400,0.12,7.0,2800.0,5.49,Pediatric,25mg,148
1221,50,0.12,9.8,490.0,0.96,Adult,100mg,Weight Captured Separately
1222,5000,0.14,8.26,41300.0,80.95,Adult,150mg,Weight Captured Separately
1223,460,0.03,6.17,2838.2,5.56,Pediatric,10mg/ml,Weight Captured Separately
1251,2800,0.12,7.0,19600.0,240.11762578459698,Pediatric,25mg,555
1279,260,0.24,42.68,11096.8,240.11762578459698,Adult,133.3/33.3mg,135
1281,894,0.06,3.35,2994.9,240.11762578459698,Adult,150mg,479
1282,25100,0.18,11.0,276100.0,240.11762578459698,Adult,150/300mg,2575
1283,95500,0.03,1.51,144205.0,240.11762578459698,Adult,30mg,9170
1295,80,0.34,41.1,3288.0,240.11762578459698,Adult,200/50mg,25
1298,70000,0.12,7.5,525000.0,240.11762578459698,Adult,150/200/30mg,6813
1299,71577,0.51,15.2,1087970.4,240.11762578459698,Adult,600mg,See ASN-242 (ID#:64)
1300,5605,0.6,36.1,202340.5,240.11762578459698,Adult,300mg,See ASN-242 (ID#:64)
1306,25000,0.12,7.5,187500.0,300.0,Adult,150/200/30mg,2348
1337,1577,0.16,9.5,14981.5,23.97,Pediatric,50mg,306
1350,4270,0.16,9.5,40565.0,64.9,Pediatric,50mg,Weight Captured Separately
1356,1000,0.01,1.92,1920.0,3.07,Pediatric,10mg/ml,960
1357,1000,0.01,2.1,2100.0,3.36,Pediatric,10mg/ml,See ASN-744 (ID#:1356)
1358,1000,0.01,2.1,2100.0,3.36,Pediatric,10mg/ml,See ASN-781 (ID#:115)
1359,3000,0.22,13.5,40500.0,64.8,Adult,150/300/200mg,332
1360,22500,0.41,12.33,277425.0,443.88,Adult,600mg,1955
1361,500,0.68,82.19,41095.0,65.75,Adult,200/50mg,117
1502,1609,0.57,17.0,27353.0,43.76,Adult,300mg,157
1519,100,0.55,183.33,18333.0,29.33,Adult,100mg,337
1529,1099,0.46,27.5,30222.5,48.36,Adult,300mg,113
1530,1200,0.03,1.75,2100.0,3.36,Adult,20mg,125
1673,400,0.22,39.4,15760.0,25.22,Adult,133.3/33.3mg,Weight Captured Separately
1674,6,0.09,7.88,47.28,0.08,Pediatric,80mg/ml,Weight Captured Separately
1675,500,0.73,21.85,10925.0,17.48,Adult,300mg,Weight Captured Separately
1691,10080,0.05,2.9,29232.0,46.77,Adult,150mg,507
1693,6720,0.38,11.48,77145.6,123.43,Adult,600mg,522
1797,400,0.12,7.0,2800.0,4.48,Pediatric,25mg,81
1798,10780,0.02,1.45,15631.0,25.01,Adult,30mg,502
1801,670,0.21,36.99,24783.3,39.65,Adult,133.3/33.3mg,Weight Captured Separately
1802,2000,0.09,5.53,11060.0,17.7,Adult,150mg,Weight Captured Separately
1803,1000,0.28,16.63,16630.0,26.61,Adult,300mg,Weight Captured Separately
1804,30,0.06,14.53,435.9,0.7,Pediatric,10mg/ml,Weight Captured Separately
1888,47879,0.2,11.89,569281.31,910.85,Adult,150/300/200mg,5311
1889,61021,0.2,11.89,725539.69,1160.86,Adult,150/300/200mg,6768
1905,4300,0.14,8.61,37023.0,59.24,Adult,150/300mg,See ASN-2274 (ID#:610)
1919,18030,0.02,1.45,26143.5,41.83,Adult,30mg,1114
1926,50,0.22,13.27,663.5,1.06,Adult,300mg,Weight Captured Separately
1927,250,0.1,2.86,715.0,1.14,Pediatric,50mg,Weight Captured Separately
1928,60,0.61,18.27,1096.2,1.75,Adult,250mg,Weight Captured Separately
1929,12,0.06,12.54,150.48,0.24,Pediatric,2g,Weight Captured Separately
1954,434,0.68,82.2,35674.8,69.92,Adult,200/50mg,113
1955,1100,0.19,11.4,12540.0,24.58,Adult,150/300/200mg,159
1956,8400,0.34,10.19,85596.0,167.77,Adult,600mg,613
1957,3648,0.12,7.25,26448.0,51.84,Adult,150/200/30mg,323
2014,300,0.79,23.6,7080.0,11.33,Adult,300mg,Weight Captured Separately
2015,40,0.06,13.94,557.6,0.89,Pediatric,10mg/ml,Weight Captured Separately
2153,6000,0.05,2.9,17400.0,34.1,Adult,200mg,581
2156,1300,0.52,15.7,20410.0,40.0,Adult,600mg,Weight Captured Separately
2157,120,0.03,6.11,733.2,1.44,Pediatric,10mg/ml,Weight Captured Separately
2158,6,0.26,70.68,424.08,0.83,Adult,200mg,Weight Captured Separately
2159,40,0.06,13.51,540.4,1.06,Pediatric,10mg/ml,Weight Captured Separately
2297,9000,0.04,2.4,21600.0,42.34,Adult,150mg,2228
2298,700,0.19,11.15,7805.0,15.3,Adult,150/300/200mg,See ASN-3562 (ID#:960)
2399,2100,0.05,5.0,10500.0,20.58,Pediatric,100mg,187
2429,176,0.21,19.09,3359.84,6.59,Pediatric,200mg,Weight Captured Separately
2430,5017,0.08,4.9,24583.3,48.18,Adult,200mg,Weight Captured Separately
2431,929,0.02,3.65,3390.85,6.65,Pediatric,10mg/ml,Weight Captured Separately
2432,6700,0.09,5.46,36582.0,71.7,Adult,150mg,Weight Captured Separately
2436,1350,0.24,14.12,19062.0,37.36,Adult,300mg,Weight Captured Separately
2437,1120,0.49,14.56,16307.2,31.96,Adult,600mg,Weight Captured Separately
2438,100,0.06,3.71,371.0,0.73,Adult,20mg,Weight Captured Separately
2439,1000,0.05,2.92,2920.0,5.72,Adult,30mg,Weight Captured Separately
2440,260,0.26,15.52,4035.2,7.91,Adult,200mg,Weight Captured Separately
2441,60,0.61,18.34,1100.4,2.16,Adult,250mg,3000
2447,5000,0.36,32.18,160900.0,315.36,Pediatric,200mg,Weight Captured Separately
2450,166,2.73,13.65,2265.9,4.44,Pediatric,10mg/ml,Weight Captured Separately
2451,1500,0.17,10.1,15150.0,29.69,Pediatric,50mg,Weight Captured Separately
2463,7840,0.15,9.1,71344.0,139.83,Adult,150/300mg,719
2474,40,0.12,36.0,1440.0,2.82,Pediatric,80/20mg/ml,Weight Captured Separately
2475,6,0.08,7.2,43.2,0.08,Pediatric,80mg/ml,Weight Captured Separately
2476,6,0.08,7.2,43.2,0.08,Pediatric,80mg/ml,Weight Captured Separately
2481,76,0.07,3.95,300.2,0.59,Adult,20mg,See ASN-4332 (ID#:1115)
2499,73,0.34,41.1,3000.3,5.88,Adult,200/50mg,69
2506,2040,0.34,41.1,83844.0,164.33,Adult,200/50mg,309
2536,26932,0.2,11.79,317528.28,622.36,Adult,150/300/200mg,3393
2559,150,0.43,13.0,1950.0,3.82,Adult,250mg,30
2571,2000,0.03,1.9,3800.0,7.45,Pediatric,30/6mg,251
2588,120,0.12,7.0,840.0,1.65,Pediatric,25mg,Weight Captured Separately
2601,20,0.73,21.9,438.0,0.86,Adult,400mg,Weight Captured Separately
2602,320,0.08,4.61,1475.2,2.89,Adult,20mg,Weight Captured Separately
2632,2733,0.68,82.19,224625.27,440.27,Adult,200/50mg,589
2655,1000,0.57,17.0,17000.0,240.11762578459698,Adult,300mg,61
2656,35000,0.07,4.35,152250.0,240.11762578459698,Adult,200mg,See ASN-55 (ID#:16)
2657,20000,0.28,16.9,338000.0,240.11762578459698,Adult,150/300mg,See ASN-55 (ID#:16)
2661,416,0.02,4.35,1809.6,240.11762578459698,Pediatric,10mg/ml,See ASN-57 (ID#:23)
2662,486,0.07,4.2,2041.2,240.11762578459698,Adult,150mg,See ASN-57 (ID#:23)
2680,906,0.09,21.05,19071.3,240.11762578459698,Pediatric,20mg/ml,316
2681,38780,0.19,11.14,432009.2,240.11762578459698,Adult,150/300mg,3217
2683,4632,0.06,3.65,16906.8,240.11762578459698,Adult,200mg,See ASN-93 (ID#:1281)
2684,166,0.04,2.15,356.9,240.11762578459698,Adult,40mg,See ASN-93 (ID#:1281)
2685,60784,0.56,16.75,1018132.0,240.11762578459698,Adult,600mg,11179
2686,1000,0.02,5.05,5050.0,240.11762578459698,Pediatric,10mg/ml,3822
2687,1000,0.01,2.44,2440.0,240.11762578459698,Pediatric,10mg/ml,See ASN-272 (ID#:1282)
2708,25000,0.12,7.5,187500.0,300.0,Adult,150/200/30mg,2336
2721,5408,0.21,12.75,68952.0,240.11762578459698,Pediatric,100mg,1072
2765,22500,0.41,12.33,277425.0,443.88,Adult,600mg,2895
2766,500,0.01,1.9,950.0,1.52,Pediatric,10mg/ml,See ASN-744 (ID#:1356)
2767,800,0.12,7.0,5600.0,8.96,Pediatric,25mg,161
2785,200,0.27,82.2,16440.0,26.3,Pediatric,80/20mg/ml,340
2808,35065,0.03,1.55,54350.75,86.96,Adult,30mg,2318
2892,140,0.79,23.67,3313.8,5.3,Adult,400mg,6
3007,546,0.12,7.0,3822.0,6.12,Pediatric,25mg,108
3026,400,0.7,21.04,8416.0,13.47,Adult,250mg,Weight Captured Separately
3080,20,0.31,28.15,563.0,0.9,Pediatric,200mg,Weight Captured Separately
3081,2500,0.5,15.0,37500.0,60.0,Adult,600mg,Weight Captured Separately
3094,520,0.42,25.0,13000.0,20.8,Adult,300mg,137
3096,2576,0.03,1.51,3889.76,6.22,Adult,30mg,121
3097,2464,0.03,1.51,3720.64,5.95,Adult,30mg,114
3191,4,0.12,9.72,38.88,0.06,Adult,100mg,Weight Captured Separately
3192,150,0.35,21.11,3166.5,5.07,Adult,200mg,Weight Captured Separately
3193,1350,0.09,5.17,6979.5,11.17,Adult,30mg,Weight Captured Separately
3261,2016,0.41,12.36,24917.76,39.87,Adult,300mg,120
3282,1000,0.54,16.19,16190.0,25.9,Adult,600mg,Weight Captured Separately
3294,50,0.79,23.67,1183.5,1.89,Adult,400mg,2
3302,1440,0.12,7.25,10440.0,20.46,Adult,150/200/30mg,128
3357,60,0.03,6.01,360.6,0.58,Pediatric,10mg/ml,Weight Captured Separately
3358,130,0.08,4.96,644.8,1.03,Adult,40mg,Weight Captured Separately
3359,40,0.56,33.43,1337.2,2.14,Adult,300mg,Weight Captured Separately
3375,50000,0.03,0.39,19500.0,38.22,ACT,50+153mg,See ASN-2921 (ID#:719)
3421,5900,1.68,50.4,297360.0,475.78,Adult,600/200/300mg,493
3456,6156,0.04,2.4,14774.4,28.96,Adult,150mg,1044
3470,50,0.61,18.34,917.0,1.8,Adult,250mg,2
3490,1200,0.08,4.81,5772.0,11.31,Adult,30mg,Weight Captured Separately
3615,336,0.12,7.5,2520.0,4.94,Adult,300mg,18
3616,300,0.19,11.15,3345.0,6.56,Adult,150/300/200mg,See ASN-3561 (ID#:2297)
3718,80,0.12,7.0,560.0,1.1,Pediatric,25mg,See ASN-3675 (ID#:1046)
3719,1470,0.34,41.1,60417.0,118.42,Adult,200/50mg,362
3735,1000,0.07,3.97,3970.0,7.78,Adult,15mg,Weight Captured Separately
3736,3675,0.04,2.55,9371.25,18.37,Adult,30mg,Weight Captured Separately
3737,824,0.21,18.83,15515.92,30.41,Pediatric,200mg,Weight Captured Separately
3738,10560,0.26,15.44,163046.4,319.57,Adult,200mg,Weight Captured Separately
3739,10000,0.09,5.68,56800.0,111.33,Adult,150mg,Weight Captured Separately
3743,1560,0.25,15.16,23649.6,46.35,Adult,200mg,Weight Captured Separately
3745,360,0.08,2.36,849.6,1.67,Pediatric,50mg,Weight Captured Separately
3746,3000,0.01,1.99,5970.0,11.7,Pediatric,1mg/ml,Weight Captured Separately
3747,1977,0.19,11.68,23091.36,45.26,Adult,300mg,Weight Captured Separately
3748,282,0.51,15.3,4314.6,8.46,Adult,600mg,Weight Captured Separately
3749,30,0.04,10.42,312.6,0.61,Pediatric,10mg/ml,Weight Captured Separately
3751,60,0.61,18.25,1095.0,2.15,Adult,400mg,Weight Captured Separately
3752,10,2.5,12.51,125.1,0.25,Pediatric,10mg/ml,Weight Captured Separately
3753,2,0.21,57.45,114.9,0.23,Adult,200mg,Weight Captured Separately
3754,20,0.09,7.35,147.0,0.29,Adult,100mg,Weight Captured Separately
3763,334,2.73,13.65,4559.1,8.94,Pediatric,10mg/ml,Weight Captured Separately
3767,3500,0.42,12.62,44170.0,86.57,Adult,600mg,Weight Captured Separately
4020,1500,0.46,27.65,41475.0,66.36,Adult,300mg,See ASN-737 (ID#:2765)
3768,2000,0.24,21.68,43360.0,84.99,Pediatric,200mg,Weight Captured Separately
3769,1400,0.29,35.38,49532.0,97.08,Adult,200/50mg,Weight Captured Separately
3770,1800,0.07,3.95,7110.0,13.94,Adult,15mg,Weight Captured Separately
3771,800,0.12,12.36,9888.0,19.38,Pediatric,100mg,Weight Captured Separately
3772,36,0.12,7.08,254.88,0.5,Adult,150mg,Weight Captured Separately
3787,30,0.12,12.37,371.1,0.73,Pediatric,100mg,Weight Captured Separately
3840,2048,0.9,53.71,109998.08,215.6,Adult,300/150/300mg,Weight Captured Separately
3846,35616,0.11,6.75,240408.0,471.2,Adult,150/200/30mg,3479
3848,6552,0.22,6.5,42588.0,83.47,Adult,600mg,524
3851,15960,0.02,1.45,23142.0,45.36,Adult,30mg,1815
3852,3500,0.19,11.15,39025.0,76.49,Adult,150/300/200mg,See ASN-4419 (ID#:3851)
3880,120,0.12,7.0,840.0,1.65,Pediatric,25mg,Weight Captured Separately
3894,360,0.33,19.56,7041.6,13.8,Adult,200mg,Weight Captured Separately
3895,40,0.57,16.97,678.8,1.33,Adult,250mg,Weight Captured Separately
3896,200,0.26,15.68,3136.0,6.15,Adult,300mg,Weight Captured Separately
3897,30,0.05,10.94,328.2,0.64,Pediatric,10mg/ml,Weight Captured Separately
3898,30,0.28,76.6,2298.0,4.5,Adult,200mg,Weight Captured Separately
3899,300,0.83,24.8,7440.0,14.58,Adult,300mg,Weight Captured Separately
3955,5080,0.18,11.0,55880.0,240.11762578459698,Adult,150/300mg,1172
3956,200,0.61,163.44,32688.0,240.11762578459698,Adult,250mg,54
4021,1000,0.68,82.19,82190.0,131.5,Adult,200/50mg,226
4025,1161,0.09,5.64,6548.04,10.48,Adult,20mg,Weight Captured Separately
4193,38784,0.12,7.0,271488.0,434.38,Adult,150/200/30mg,4124
4198,2000,0.68,82.2,164400.0,263.04,Adult,200/50mg,513
4215,800,0.03,1.75,1400.0,2.24,Adult,20mg,See ASN-1231 (ID#:2947)
4283,180,0.17,10.28,1850.4,2.96,Pediatric,100/25mg,31
4290,800,0.9,27.15,21720.0,34.75,Adult,400mg,Weight Captured Separately
4347,1000,0.03,6.41,6410.0,10.26,Pediatric,10mg/ml,Weight Captured Separately
4367,408,0.13,7.75,3162.0,5.06,Pediatric,100mg,See ASN-2023 (ID#:3094)
4368,10420,0.12,7.4,77108.0,123.37,Adult,150/200/30mg,1000
4369,9600,0.12,7.4,71040.0,113.66,Adult,150/200/30mg,920
4372,1520,0.68,82.2,124944.0,199.91,Adult,200/50mg,385
4373,800,0.68,82.2,65760.0,105.22,Adult,200/50mg,208
4456,15360,0.12,7.4,113664.0,181.86,Adult,150/200/30mg,1360
4457,2180,0.05,3.21,6997.8,11.2,Adult,200mg,242
4458,2016,0.15,9.25,18648.0,29.84,Adult,150/300mg,185
4459,400,0.12,7.0,2800.0,4.48,Pediatric,25mg,81
4460,10080,0.34,10.24,103219.2,165.15,Adult,600mg,See ASN-2336 (ID#:530)
4461,4,0.22,13.24,52.96,0.08,Pediatric,25mg,Weight Captured Separately
4531,400,0.79,23.84,9536.0,15.26,Adult,300mg,Weight Captured Separately
4567,2597,0.79,23.67,61470.99,120.48,Adult,400mg,Weight Captured Separately
4635,1848,0.05,2.9,5359.2,8.57,Adult,200mg,327
4709,18560,0.15,9.1,168896.0,331.04,Adult,150/300mg,1698
4794,545,0.12,7.0,3815.0,7.48,Pediatric,25mg,Weight Captured Separately
4798,200,0.1,2.96,592.0,1.16,Pediatric,50mg,Weight Captured Separately
4921,5200,0.05,2.9,15080.0,29.56,Adult,200mg,See ASN-3562 (ID#:960)
4949,10680,0.34,41.1,438948.0,860.34,Adult,200/50mg,2724
5032,7000,0.54,16.15,113050.0,221.58,Adult,600mg,Weight Captured Separately
5033,983,0.08,4.96,4875.68,9.56,Adult,200mg,Weight Captured Separately
5034,1325,0.04,2.52,3339.0,6.54,Adult,30mg,Weight Captured Separately
5035,2880,0.26,15.56,44812.8,87.83,Adult,200mg,Weight Captured Separately
5036,6800,0.2,12.15,82620.0,161.94,Adult,300mg,Weight Captured Separately
5037,3414,0.49,14.59,49810.26,97.63,Adult,600mg,Weight Captured Separately
5041,5000,0.21,12.55,62750.0,122.99,Adult,300mg,Weight Captured Separately
5042,6215,0.55,16.51,102609.65,201.11,Adult,600mg,Weight Captured Separately
5043,3000,0.08,2.49,7470.0,14.64,Pediatric,50mg,Weight Captured Separately
5044,500,0.1,3.06,1530.0,3.0,Pediatric,50mg,Weight Captured Separately
5045,1200,0.4,12.11,14532.0,28.48,Adult,600mg,Weight Captured Separately
5046,500,0.59,17.64,8820.0,17.29,Adult,300mg,Weight Captured Separately
5047,80,0.97,29.2,2336.0,4.58,Adult,300/200mg,Weight Captured Separately
5048,1,0.07,5.97,5.97,0.01,Pediatric,80mg/ml,Weight Captured Separately
5049,500,0.22,13.11,6555.0,12.85,Adult,300mg,Weight Captured Separately
5050,300,0.07,3.93,1179.0,2.31,Adult,20mg,Weight Captured Separately
5051,80,0.08,2.36,188.8,0.37,Pediatric,50mg,Weight Captured Separately
5052,28,0.21,56.39,1578.92,3.09,Adult,200mg,Weight Captured Separately
5053,30,0.31,27.65,829.5,1.63,Pediatric,200mg,Weight Captured Separately
5058,108,0.02,5.65,610.2,1.2,Pediatric,10mg/ml,Weight Captured Separately
5059,9620,0.12,7.08,68109.6,133.49,Adult,150mg,Weight Captured Separately
5076,250,0.71,21.26,5315.0,10.42,Adult,300mg,Weight Captured Separately
5081,100,0.36,32.2,3220.0,6.31,Pediatric,200mg,Weight Captured Separately
5083,400,0.3,36.0,14400.0,28.22,Adult,200/50mg,Weight Captured Separately
5113,28034,0.23,6.98,195677.32,383.53,Adult,600mg,2268
5114,2000,0.07,35.21,70420.0,138.02,ACT,20/120mg,1250
5175,820,0.33,89.11,73074.13,143.23,Adult,200mg,424
5194,30,0.6,36.06,1081.8,2.12,Adult,300mg,Weight Captured Separately
5195,200,0.35,41.98,8396.0,16.46,Adult,200/50mg,Weight Captured Separately
5201,20,0.14,41.1,822.0,1.61,Pediatric,80/20mg/ml,Weight Captured Separately
5249,198,1.0,180.82,35802.36,240.11762578459698,Adult,133.3/33.3mg,389
5253,416,0.03,6.2,2579.2,240.11762578459698,Pediatric,10mg/ml,See ASN-57 (ID#:23)
5260,16683,0.07,3.95,65897.85,240.11762578459698,Adult,150mg,1498
5261,9321,0.05,3.15,29361.15,240.11762578459698,Adult,30mg,See ASN-61 (ID#:5260)
5268,602,0.04,2.35,1414.7,240.11762578459698,Adult,15mg,37
5277,6349,0.06,3.35,21269.15,240.11762578459698,Adult,150mg,369
5278,33333,0.06,3.61,120332.13,240.11762578459698,Adult,200mg,See ASN-123 (ID#:2685)
5279,98400,0.06,3.35,329640.0,240.11762578459698,Adult,150mg,4300
5280,1700,0.18,10.5,17850.0,240.11762578459698,Pediatric,100mg,356
5281,700,0.73,44.05,30835.0,240.11762578459698,Adult,300mg,See ASN-276 (ID#:2686)
5282,38300,0.56,16.75,641525.0,240.11762578459698,Adult,600mg,See ASN-276 (ID#:2686)
5283,1320,1.51,180.82,238682.4,240.11762578459698,Adult,200/50mg,304
5303,54,0.16,9.5,513.0,240.11762578459698,Pediatric,50mg,Weight Captured Separately
5364,1577,0.16,9.5,14981.5,23.97,Pediatric,50mg,309
5522,1000,0.68,82.2,82200.0,131.52,Adult,200/50mg,249
5534,600,0.02,1.5,900.0,1.44,Adult,15mg,See ASN-1230 (ID#:1530)
5675,1000,0.27,16.4,16400.0,26.24,Adult,300mg,Weight Captured Separately
5676,3000,0.09,5.45,16350.0,26.16,Adult,150mg,Weight Captured Separately
5677,200,0.08,4.89,978.0,1.56,Adult,20mg,Weight Captured Separately
5678,20,1.21,36.17,723.4,1.16,Adult,300/200mg,Weight Captured Separately
5701,500,0.42,25.0,12500.0,20.0,Adult,300mg,124
5703,2016,0.46,13.66,27538.56,44.06,Adult,300mg,122
5793,3024,0.15,9.25,27972.0,44.76,Adult,150/300mg,703
5794,1040,0.68,82.2,85488.0,136.78,Adult,200/50mg,251
5796,9576,0.04,2.6,24897.6,39.84,Adult,150mg,889
5799,8,0.83,49.74,397.92,0.64,Adult,300mg,Weight Captured Separately
5800,4,0.23,14.04,56.16,0.09,Pediatric,100mg,Weight Captured Separately
5801,30,0.82,24.61,738.3,1.18,Adult,300mg,Weight Captured Separately
5802,6,0.07,13.08,78.48,0.13,Pediatric,2g,Weight Captured Separately
5894,15960,0.04,2.4,38304.0,61.29,Adult,150mg,755
5895,5040,0.41,12.36,62294.4,99.67,Adult,300mg,301
5905,132,0.06,15.08,1990.56,3.18,Pediatric,20mg/ml,65
5916,30,1.3,39.05,1171.5,1.87,Adult,300/200mg,Weight Captured Separately
5917,7,0.03,26.35,184.45,0.3,Malaria,500/25mg,488
5935,6,0.68,82.2,493.2,0.97,Adult,200/50mg,9
5936,880,0.39,23.5,20680.0,40.53,Adult,300mg,331
5937,280,0.12,7.0,1960.0,3.84,Pediatric,25mg,60
5978,350,0.08,4.96,1736.0,2.78,Adult,30mg,Weight Captured Separately
5979,100,0.61,18.28,1828.0,2.92,Adult,250mg,Weight Captured Separately
6023,30,0.01,6.57,197.1,0.39,Malaria,150mg,3221
6081,6966,0.04,2.4,16718.4,32.77,Adult,150mg,1068
6082,4200,0.05,2.9,12180.0,23.87,Adult,200mg,See ASN-3313 (ID#:3456)
6125,120,0.33,19.63,2355.6,4.62,Adult,200mg,Weight Captured Separately
6196,12,0.05,52.49,629.88,1.23,Malaria,300mg,12
6257,9576,0.02,1.45,13885.2,27.21,Adult,30mg,See ASN-3561 (ID#:2297)
6369,10,0.34,41.1,411.0,0.81,Adult,200/50mg,9
6381,260,0.21,12.75,3315.0,6.5,Pediatric,100mg,56
6394,5000,0.09,5.49,27450.0,53.8,Adult,150mg,Weight Captured Separately
6395,1320,0.01,1.14,1504.8,2.95,Pediatric,1mg/ml,Weight Captured Separately
